"","status","p_value","morans_test_statistic","morans_I","gene_short_name","q_value"
"Pam","OK",0,40.2249730944643,0.0975677444431365,"Pam",0
"Bcl2","OK",0,98.9287154445856,0.240073500944359,"Bcl2",0
"Serpinb2","OK",0,52.13781184365,0.126251728314695,"Serpinb2",0
"Tsn","OK",0,69.1733564041653,0.167819951288068,"Tsn",0
"Nifk","OK",0,73.6637204219874,0.178740538876783,"Nifk",0
"Ralb","OK",0,55.8397032202624,0.135474427505695,"Ralb",0
"Dbi","OK",0,168.182606087773,0.408115101975747,"Dbi",0
"Steap3","OK",0,110.988804293242,0.269338048013004,"Steap3",0
"Ddx18","OK",0,68.8638260138267,0.167089907412884,"Ddx18",0
"Actr3","OK",0,117.517725174262,0.285148991452494,"Actr3",0
"Mgat5","OK",0,91.0183878273291,0.220871746512845,"Mgat5",0
"Acmsd","OK",0,47.9184020572745,0.115983745894034,"Acmsd",0
"R3hdm1","OK",0,46.9251013118108,0.113834211840255,"R3hdm1",0
"Mcm6","OK",0,131.986822199659,0.320303796503752,"Mcm6",0
"Dars","OK",0,43.3305071485527,0.105110805901034,"Dars",0
"Cxcr4","OK",0,132.644300043152,0.321910301112557,"Cxcr4",0
"Cd55","OK",0,132.568052582733,0.321724239983009,"Cd55",0
"Fcmr","OK",0,137.69554294567,0.317441124308544,"Fcmr",0
"Mapkapk2","OK",0,108.161558518135,0.262482589507588,"Mapkapk2",0
"Dyrk3","OK",0,70.5746393924594,0.171240236916793,"Dyrk3",0
"Ctse","OK",0,179.01987832561,0.434427640397598,"Ctse",0
"Rab7b","OK",0,96.3798986187538,0.23376038234607,"Rab7b",0
"Nucks1","OK",0,145.280627230239,0.352529690333718,"Nucks1",0
"Slc45a3","OK",0,160.954072825287,0.390611081026022,"Slc45a3",0
"Nuak2","OK",0,65.2290528082408,0.158260562017435,"Nuak2",0
"Snrpe","OK",0,156.838042103393,0.380467799796189,"Snrpe",0
"Lax1","OK",0,38.6839301029137,0.0933031583932203,"Lax1",0
"Atp2b4","OK",0,51.2071029273741,0.124230776820234,"Atp2b4",0
"Prelp","OK",0,48.8712831790466,0.111219036800335,"Prelp",0
"Btg2","OK",0,62.3182115218501,0.151190721695618,"Btg2",0
"Chit1","OK",0,47.7582368687361,0.114641500752482,"Chit1",0
"Chil1","OK",0,310.115185517111,0.751201886853643,"Chil1",0
"Ppfia4","OK",0,130.873012264439,0.317376528831686,"Ppfia4",0
"Kdm5b","OK",0,75.9556388567578,0.184308027447561,"Kdm5b",0
"Ube2t","OK",0,90.3534211371219,0.219255486562671,"Ube2t",0
"Ptpn7","OK",0,54.449301776039,0.132096800288887,"Ptpn7",0
"Rnpep","OK",0,135.094824820139,0.327864724597764,"Rnpep",0
"Timm17a","OK",0,63.8922333677764,0.155024331556829,"Timm17a",0
"Nav1","OK",0,57.4553576118424,0.139389246644349,"Nav1",0
"Csrp1","OK",0,77.3105212610082,0.18759586903756,"Csrp1",0
"Tnnt2","OK",0,80.8737409574559,0.192519865858228,"Tnnt2",0
"Tmem9","OK",0,39.1400380591475,0.0949401775198139,"Tmem9",0
"Camsap2","OK",0,133.937552705734,0.324889730181671,"Camsap2",0
"Kif14","OK",0,131.620496053864,0.319355756038618,"Kif14",0
"Gm19705","OK",0,40.5600863911389,0.0977000712889966,"Gm19705",0
"Ptprc","OK",0,83.8508522254088,0.203471984788803,"Ptprc",0
"2310009B15Rik","OK",0,43.8617969507655,0.106403357157681,"2310009B15Rik",0
"Aspm","OK",0,204.676433669736,0.496714451633725,"Aspm",0
"Cfh","OK",0,58.0326556211818,0.136549305995128,"Cfh",0
"Glrx2","OK",0,39.7023029310596,0.0963049970068477,"Glrx2",0
"Uchl5","OK",0,103.609747810967,0.251429956472507,"Uchl5",0
"Rgs2","OK",0,113.789780845849,0.276125229844821,"Rgs2",0
"Rgs1","OK",0,103.673073216672,0.251565732789293,"Rgs1",0
"Rgs18","OK",0,173.290564194002,0.420571047557207,"Rgs18",0
